drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.4,0.061997175216674805,0.77,1
0.0,0.0,0.42333333333333334,0.0615086555480957,0.7633333333333333,1
0.0,0.0,0.43333333333333335,0.06225728988647461,0.7833333333333333,1
0.0,0.0,0.42,0.06208300590515137,0.77,1
0.0,0.0,0.4766666666666667,0.06283783912658691,0.76,1
0.0,0.0,0.44333333333333336,0.06098437309265137,0.7133333333333334,1
0.0,0.0,0.42333333333333334,0.06056976318359375,0.79,1
0.0,0.0,0.44666666666666666,0.06247067451477051,0.7633333333333333,1
0.0,0.0,0.4766666666666667,0.06023859977722168,0.7566666666666667,1
0.0,0.0,0.42,0.06136775016784668,0.7533333333333333,1
0.0,0.0,0.4,0.06119871139526367,0.7133333333333334,1
0.0,0.0,0.47,0.061756134033203125,0.7466666666666667,1
0.0,0.0,0.44333333333333336,0.06223607063293457,0.76,1
0.0,0.0,0.4766666666666667,0.06200766563415527,0.78,1
0.0,0.0,0.4533333333333333,0.061292409896850586,0.76,1
0.0,0.0,0.44666666666666666,0.06124567985534668,0.7133333333333334,1
0.0,0.0,0.4166666666666667,0.06187033653259277,0.7433333333333333,1
0.0,0.0,0.38333333333333336,0.061094045639038086,0.7833333333333333,1
0.0,0.0,0.4533333333333333,0.061943769454956055,0.76,1
0.0,0.0,0.39,0.062148094177246094,0.75,1
0.0,0.0,0.42333333333333334,0.06202363967895508,0.7333333333333333,1
0.0,0.0,0.45,0.07632899284362793,0.75,1
0.0,0.0,0.45666666666666667,0.06377434730529785,0.74,1
0.0,0.0,0.42,0.07379388809204102,0.71,1
0.0,0.0,0.45666666666666667,0.06365585327148438,0.76,1
0.0,0.0,0.43,0.07287025451660156,0.7466666666666667,1
0.0,0.0,0.35,0.09708523750305176,0.7666666666666667,1
0.0,0.0,0.38666666666666666,0.06290936470031738,0.7833333333333333,1
0.0,0.0,0.43666666666666665,0.06282281875610352,0.7666666666666667,1
0.0,0.0,0.45666666666666667,0.06339144706726074,0.7466666666666667,1
0.0,0.0,0.46,0.0627131462097168,0.78,1
0.0,0.0,0.4533333333333333,0.06273388862609863,0.7666666666666667,1
0.0,0.0,0.43666666666666665,0.06366205215454102,0.7166666666666667,1
0.0,0.0,0.42,0.07257556915283203,0.74,1
0.0,0.0,0.44,0.07521843910217285,0.7666666666666667,1
0.0,0.0,0.4666666666666667,0.06257295608520508,0.7466666666666667,1
0.0,0.0,0.42333333333333334,0.0636296272277832,0.74,1
0.0,0.0,0.4866666666666667,0.0630958080291748,0.7633333333333333,1
0.0,0.0,0.4066666666666667,0.07355523109436035,0.75,1
0.0,0.0,0.41,0.06222677230834961,0.7733333333333333,1
0.0,0.0,0.47333333333333333,0.06290268898010254,0.77,1
0.0,0.0,0.42,0.07277250289916992,0.6866666666666666,1
0.0,0.0,0.44666666666666666,0.06244206428527832,0.77,1
0.0,0.0,0.38,0.07358598709106445,0.7466666666666667,1
0.0,0.0,0.43666666666666665,0.06178474426269531,0.7533333333333333,1
0.0,0.0,0.44,0.0732581615447998,0.7533333333333333,1
