drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.51,0.07965731620788574,1.0,1
0.0,0.0,0.495,0.08391308784484863,0.99,1
0.0,0.0,0.55,0.08537554740905762,1.0,1
0.0,0.0,0.535,0.08427619934082031,0.99,1
0.0,0.0,0.51,0.09031867980957031,0.995,1
0.0,0.0,0.53,0.0834197998046875,1.0,1
0.0,0.0,0.49,0.0988779067993164,1.0,1
0.0,0.0,0.555,0.07397341728210449,1.0,1
0.0,0.0,0.46,0.08822274208068848,1.0,1
0.0,0.0,0.565,0.08696913719177246,1.0,1
0.0,0.0,0.52,0.08378887176513672,0.995,1
0.0,0.0,0.48,0.09054851531982422,1.0,1
0.0,0.0,0.45,0.07778739929199219,0.995,1
0.0,0.0,0.52,0.07836365699768066,1.0,1
0.0,0.0,0.51,0.0870823860168457,1.0,1
0.0,0.0,0.46,0.08553528785705566,1.0,1
0.0,0.0,0.515,0.09353089332580566,0.995,1
0.0,0.0,0.495,0.1350998878479004,0.995,1
0.0,0.0,0.465,0.09685611724853516,1.0,1
0.0,0.0,0.51,0.08907294273376465,1.0,1
0.0,0.0,0.54,0.08203434944152832,0.995,1
0.0,0.0,0.445,0.07999539375305176,0.995,1
0.0,0.0,0.46,0.08652639389038086,1.0,1
0.0,0.0,0.495,0.08037114143371582,0.995,1
0.0,0.0,0.54,0.08440947532653809,0.99,1
0.0,0.0,0.49,0.08490395545959473,1.0,1
0.0,0.0,0.48,0.08625245094299316,0.995,1
0.0,0.0,0.46,0.08242177963256836,1.0,1
0.0,0.0,0.485,0.08293962478637695,0.995,1
0.0,0.0,0.53,0.08275127410888672,1.0,1
0.0,0.0,0.51,0.08347606658935547,1.0,1
0.0,0.0,0.485,0.08379840850830078,1.0,1
0.0,0.0,0.51,0.09303569793701172,1.0,1
0.0,0.0,0.515,0.0859227180480957,1.0,1
0.0,0.0,0.485,0.07414960861206055,1.0,1
0.0,0.0,0.475,0.0826570987701416,0.995,1
0.0,0.0,0.46,0.08475255966186523,1.0,1
0.0,0.0,0.57,0.08834266662597656,1.0,1
0.0,0.0,0.56,0.08503031730651855,1.0,1
0.0,0.0,0.51,0.08657217025756836,1.0,1
0.0,0.0,0.46,0.08285665512084961,0.995,1
0.0,0.0,0.505,0.08011198043823242,1.0,1
0.0,0.0,0.555,0.11550116539001465,1.0,1
0.0,0.0,0.475,0.08085465431213379,1.0,1
0.0,0.0,0.495,0.08386921882629395,0.995,1
0.0,0.0,0.45,0.08206820487976074,1.0,1
0.0,0.0,0.48,0.08307003974914551,0.995,1
0.0,0.0,0.48,0.07907819747924805,0.995,1
0.0,0.0,0.515,0.08110690116882324,1.0,1
0.0,0.0,0.495,0.0897989273071289,1.0,1
0.0,0.0,0.605,0.08555889129638672,1.0,1
0.0,0.0,0.5,0.08273100852966309,1.0,1
0.0,0.0,0.53,0.0830998420715332,1.0,1
0.0,0.0,0.56,0.08543205261230469,0.985,1
0.0,0.0,0.475,0.08394575119018555,1.0,1
0.0,0.0,0.495,0.07956361770629883,0.995,1
0.0,0.0,0.475,0.08148479461669922,1.0,1
0.0,0.0,0.52,0.08126187324523926,0.995,1
0.0,0.0,0.485,0.08183598518371582,0.995,1
0.0,0.0,0.5,0.08530759811401367,1.0,1
0.0,0.0,0.515,0.08387446403503418,1.0,1
0.0,0.0,0.485,0.08537864685058594,1.0,1
0.0,0.0,0.535,0.08860063552856445,0.995,1
0.0,0.0,0.505,0.08126139640808105,1.0,1
0.0,0.0,0.48,0.08169078826904297,0.99,1
0.0,0.0,0.54,0.08735203742980957,0.99,1
0.0,0.0,0.495,0.08664250373840332,1.0,1
0.0,0.0,0.575,0.12217450141906738,0.995,1
0.0,0.0,0.48,0.0857546329498291,1.0,1
0.0,0.0,0.46,0.08811259269714355,0.995,1
0.0,0.0,0.475,0.08058023452758789,0.995,1
0.0,0.0,0.46,0.11338567733764648,0.995,1
0.0,0.0,0.44,0.11350822448730469,1.0,1
0.0,0.0,0.515,0.10279393196105957,1.0,1
0.0,0.0,0.51,0.10314798355102539,1.0,1
0.0,0.0,0.51,0.10906648635864258,1.0,1
0.0,0.0,0.47,0.11194968223571777,1.0,1
0.0,0.0,0.495,0.1166689395904541,1.0,1
0.0,0.0,0.525,0.09035134315490723,1.0,1
0.0,0.0,0.475,0.08794140815734863,1.0,1
0.0,0.0,0.505,0.0905616283416748,0.995,1
0.0,0.0,0.485,0.08298254013061523,1.0,1
0.0,0.0,0.575,0.09161615371704102,1.0,1
0.0,0.0,0.535,0.0861823558807373,1.0,1
0.0,0.0,0.49,0.08467864990234375,1.0,1
0.0,0.0,0.48,0.08702826499938965,0.99,1
0.0,0.0,0.54,0.08515310287475586,1.0,1
0.0,0.0,0.51,0.11817526817321777,0.995,1
0.0,0.0,0.46,0.10295462608337402,1.0,1
0.0,0.0,0.485,0.09226679801940918,1.0,1
0.0,0.0,0.47,0.10469841957092285,1.0,1
0.0,0.0,0.52,0.08531928062438965,0.99,1
0.0,0.0,0.525,0.07999563217163086,1.0,1
0.0,0.0,0.51,0.08590102195739746,0.99,1
0.0,0.0,0.515,0.08004140853881836,1.0,1
0.0,0.0,0.545,0.07932925224304199,1.0,1
0.0,0.0,0.42,0.08658146858215332,1.0,1
0.0,0.0,0.555,0.08322644233703613,1.0,1
0.0,0.0,0.435,0.07519674301147461,0.995,1
0.0,0.0,0.565,0.08975720405578613,1.0,1
1.0,0.0,0.565,0.48709702491760254,0.695,2
0.0,0.0,0.55,0.09574198722839355,0.93,2
0.0,0.0,0.49,0.08794641494750977,0.96,2
0.0,0.0,0.485,0.08263826370239258,0.94,2
0.0,0.0,0.505,0.11323761940002441,0.93,2
0.0,0.0,0.565,0.13218355178833008,0.99,2
0.0,0.0,0.485,0.10379767417907715,0.97,2
0.0,0.0,0.45,0.08870387077331543,0.96,2
0.0,0.0,0.455,0.09457087516784668,0.945,2
0.0,0.0,0.525,0.11094355583190918,0.975,2
0.0,0.0,0.555,0.0915067195892334,0.95,2
0.0,0.0,0.555,0.08841681480407715,0.97,2
0.0,0.0,0.495,0.10240030288696289,0.96,2
0.0,0.0,0.455,0.09496426582336426,0.95,2
0.0,0.0,0.51,0.08923840522766113,0.97,2
0.0,0.0,0.485,0.09212303161621094,0.975,2
0.0,0.0,0.525,0.08792853355407715,0.94,2
0.0,0.0,0.58,0.10324549674987793,0.945,2
0.0,0.0,0.5,0.10522818565368652,0.945,2
0.0,0.0,0.48,0.09862279891967773,0.95,2
0.0,0.0,0.525,0.0968010425567627,0.965,2
0.0,0.0,0.515,0.10728311538696289,0.965,2
0.0,0.0,0.5,0.09711217880249023,0.95,2
0.0,0.0,0.515,0.10386514663696289,0.97,2
0.0,0.0,0.485,0.11780142784118652,0.965,2
0.0,0.0,0.5,0.09481120109558105,0.93,2
0.0,0.0,0.45,0.09237146377563477,0.98,2
0.0,0.0,0.55,0.09093618392944336,0.93,2
0.0,0.0,0.47,0.09055376052856445,0.96,2
0.0,0.0,0.485,0.09680867195129395,0.98,2
0.0,0.0,0.535,0.08755874633789062,0.985,2
0.0,0.0,0.49,0.08799266815185547,0.975,2
0.0,0.0,0.475,0.09430670738220215,0.945,2
0.0,0.0,0.61,0.09168434143066406,0.97,2
0.0,0.0,0.525,0.09875154495239258,0.955,2
0.0,0.0,0.51,0.09285497665405273,0.965,2
0.0,0.0,0.48,0.09980034828186035,0.96,2
0.0,0.0,0.48,0.09008526802062988,0.96,2
0.0,0.0,0.525,0.08889532089233398,0.96,2
0.0,0.0,0.545,0.09077215194702148,0.96,2
0.0,0.0,0.52,0.1013190746307373,0.97,2
0.0,0.0,0.475,0.12030792236328125,0.955,2
0.0,0.0,0.515,0.12972640991210938,0.97,2
0.0,0.0,0.515,0.09219980239868164,0.99,2
0.0,0.0,0.545,0.09506511688232422,0.955,2
0.0,0.0,0.46,0.10149121284484863,0.97,2
0.0,0.0,0.55,0.09757065773010254,0.975,2
0.0,0.0,0.5,0.0948338508605957,0.955,2
0.0,0.0,0.49,0.09058141708374023,0.96,2
0.0,0.0,0.56,0.09412384033203125,0.975,2
0.0,0.0,0.535,0.0945730209350586,0.96,2
0.0,0.0,0.505,0.09387969970703125,0.95,2
0.0,0.0,0.515,0.09982967376708984,0.96,2
0.0,0.0,0.475,0.0890190601348877,0.935,2
0.0,0.0,0.47,0.09229731559753418,0.955,2
0.0,0.0,0.5,0.08649659156799316,0.945,2
0.0,0.0,0.535,0.10268115997314453,0.96,2
0.0,0.0,0.455,0.09855818748474121,0.96,2
0.0,0.0,0.535,0.13076186180114746,0.96,2
0.0,0.0,0.475,0.09016919136047363,0.965,2
0.0,0.0,0.51,0.09074282646179199,0.98,2
0.0,0.0,0.47,0.09395575523376465,0.96,2
0.0,0.0,0.5,0.09158015251159668,0.945,2
0.0,0.0,0.515,0.09364175796508789,0.955,2
0.0,0.0,0.535,0.09029245376586914,0.95,2
0.0,0.0,0.465,0.08712959289550781,0.98,2
0.0,0.0,0.53,0.10517001152038574,0.98,2
0.0,0.0,0.51,0.09490776062011719,0.98,2
0.0,0.0,0.475,0.0982811450958252,0.935,2
0.0,0.0,0.545,0.09372615814208984,0.96,2
0.0,0.0,0.565,0.09847640991210938,0.985,2
0.0,0.0,0.53,0.09139060974121094,0.94,2
0.0,0.0,0.5,0.1001901626586914,0.97,2
0.0,0.0,0.535,0.09851360321044922,0.96,2
0.0,0.0,0.505,0.09089875221252441,0.945,2
0.0,0.0,0.405,0.0966031551361084,0.94,2
0.0,0.0,0.48,0.09132599830627441,0.955,2
0.0,0.0,0.46,0.09572744369506836,0.94,2
0.0,0.0,0.525,0.09561371803283691,0.965,2
